Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Cultures et produits animaux","Angola","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","298200"
"Cultures et produits animaux","Antigua-et-Barbuda","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","12.56"
"Cultures et produits animaux","Antigua-et-Barbuda","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","34"
"Cultures et produits animaux","Antigua-et-Barbuda","Importations - Quantité","Poulets","2017","1000 têtes","10"
"Cultures et produits animaux","Antigua-et-Barbuda","Importations - Valeur","Poulets","2017","1000 US$","35"
"Cultures et produits animaux","Antigua-et-Barbuda","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","6143.69"
"Cultures et produits animaux","Antigua-et-Barbuda","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","11927"
"Cultures et produits animaux","Arabie saoudite","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","4009"
"Cultures et produits animaux","Arabie saoudite","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","25121"
"Cultures et produits animaux","Arabie saoudite","Importations - Quantité","Poulets","2017","1000 têtes","306"
"Cultures et produits animaux","Arabie saoudite","Importations - Valeur","Poulets","2017","1000 US$","17495"
"Cultures et produits animaux","Arabie saoudite","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","730959.6"
"Cultures et produits animaux","Arabie saoudite","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","1232031"
"Cultures et produits animaux","Argentine","Importations - Quantité","Poulets","2017","1000 têtes","671"
"Cultures et produits animaux","Argentine","Importations - Valeur","Poulets","2017","1000 US$","14940"
"Cultures et produits animaux","Argentine","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","2097.23"
"Cultures et produits animaux","Argentine","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","3891"
"Cultures et produits animaux","Arménie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","451.97"
"Cultures et produits animaux","Arménie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","655"
"Cultures et produits animaux","Arménie","Importations - Quantité","Poulets","2017","1000 têtes","6821"
"Cultures et produits animaux","Arménie","Importations - Valeur","Poulets","2017","1000 US$","4169"
"Cultures et produits animaux","Arménie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","34419.23"
"Cultures et produits animaux","Arménie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","39238"
"Cultures et produits animaux","Australie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","815.11"
"Cultures et produits animaux","Australie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","2709"
"Cultures et produits animaux","Australie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","3043"
"Cultures et produits animaux","Australie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","13560"
"Cultures et produits animaux","Autriche","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","23179.43"
"Cultures et produits animaux","Autriche","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","36252"
"Cultures et produits animaux","Autriche","Importations - Quantité","Poulets","2017","1000 têtes","14751"
"Cultures et produits animaux","Autriche","Importations - Valeur","Poulets","2017","1000 US$","32714"
"Cultures et produits animaux","Autriche","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","45021.85"
"Cultures et produits animaux","Autriche","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","152854"
"Cultures et produits animaux","Azerbaïdjan","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","3789.31"
"Cultures et produits animaux","Azerbaïdjan","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","11663"
"Cultures et produits animaux","Azerbaïdjan","Importations - Quantité","Poulets","2017","1000 têtes","3230"
"Cultures et produits animaux","Azerbaïdjan","Importations - Valeur","Poulets","2017","1000 US$","5083"
"Cultures et produits animaux","Azerbaïdjan","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","23717.45"
"Cultures et produits animaux","Azerbaïdjan","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","29922"
"Cultures et produits animaux","Bahamas","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","1235.49"
"Cultures et produits animaux","Bahamas","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","4111"
"Cultures et produits animaux","Bahamas","Importations - Quantité","Poulets","2017","1000 têtes","7"
"Cultures et produits animaux","Bahamas","Importations - Valeur","Poulets","2017","1000 US$","317"
"Cultures et produits animaux","Bahamas","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","11218.14"
"Cultures et produits animaux","Bahamas","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","37217"
"Cultures et produits animaux","Bahreïn","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","10018"
"Cultures et produits animaux","Bahreïn","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","16238"
"Cultures et produits animaux","Bahreïn","Importations - Quantité","Poulets","2017","1000 têtes","230"
"Cultures et produits animaux","Bahreïn","Importations - Valeur","Poulets","2017","1000 US$","282"
"Cultures et produits animaux","Bahreïn","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","50133.32"
"Cultures et produits animaux","Bahreïn","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","98096"
"Cultures et produits animaux","Bangladesh","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","3"
"Cultures et produits animaux","Bangladesh","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","142"
"Cultures et produits animaux","Bangladesh","Importations - Quantité","Poulets","2017","1000 têtes","4056"
"Cultures et produits animaux","Bangladesh","Importations - Valeur","Poulets","2017","1000 US$","22282"
"Cultures et produits animaux","Bangladesh","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","167.41"
"Cultures et produits animaux","Bangladesh","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","118"
"Cultures et produits animaux","Barbade","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","1106.93"
"Cultures et produits animaux","Barbade","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","6215"
"Cultures et produits animaux","Barbade","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","562.47"
"Cultures et produits animaux","Barbade","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","1858"
"Cultures et produits animaux","Bélarus","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","2136.33"
"Cultures et produits animaux","Bélarus","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","8164"
"Cultures et produits animaux","Bélarus","Importations - Quantité","Poulets","2017","1000 têtes","6733"
"Cultures et produits animaux","Bélarus","Importations - Valeur","Poulets","2017","1000 US$","9034"
"Cultures et produits animaux","Bélarus","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","17840.21"
"Cultures et produits animaux","Bélarus","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","11833"
"Cultures et produits animaux","Belgique","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","77464.38"
"Cultures et produits animaux","Belgique","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","147276"
"Cultures et produits animaux","Belgique","Importations - Quantité","Poulets","2017","1000 têtes","141743"
"Cultures et produits animaux","Belgique","Importations - Valeur","Poulets","2017","1000 US$","207538"
"Cultures et produits animaux","Belgique","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","212149.49"
"Cultures et produits animaux","Belgique","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","329934"
"Cultures et produits animaux","Belize","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","137.88"
"Cultures et produits animaux","Belize","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","614"
"Cultures et produits animaux","Belize","Importations - Quantité","Poulets","2017","1000 têtes","132"
"Cultures et produits animaux","Belize","Importations - Valeur","Poulets","2017","1000 US$","665"
"Cultures et produits animaux","Belize","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","3"
"Cultures et produits animaux","Belize","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","4"
"Cultures et produits animaux","Bénin","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","4.15"
"Cultures et produits animaux","Bénin","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","20"
"Cultures et produits animaux","Bénin","Importations - Quantité","Poulets","2017","1000 têtes","14"
"Cultures et produits animaux","Bénin","Importations - Valeur","Poulets","2017","1000 US$","233"
"Cultures et produits animaux","Bénin","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","70849.23"
"Cultures et produits animaux","Bénin","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","63240"
"Cultures et produits animaux","Bhoutan","Importations - Quantité","Poulets","2017","1000 têtes","360"
"Cultures et produits animaux","Bhoutan","Importations - Valeur","Poulets","2017","1000 US$","370"
"Cultures et produits animaux","Bhoutan","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","1298.4"
"Cultures et produits animaux","Bhoutan","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","1683"
"Cultures et produits animaux","Bolivie (État plurinational de)","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","237.86"
"Cultures et produits animaux","Bolivie (État plurinational de)","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","3959"
"Cultures et produits animaux","Bolivie (État plurinational de)","Importations - Quantité","Poulets","2017","1000 têtes","936"
"Cultures et produits animaux","Bolivie (État plurinational de)","Importations - Valeur","Poulets","2017","1000 US$","4727"
"Cultures et produits animaux","Bolivie (État plurinational de)","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","690.09"
"Cultures et produits animaux","Bolivie (État plurinational de)","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","645"
"Cultures et produits animaux","Bosnie-Herzégovine","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","925.14"
"Cultures et produits animaux","Bosnie-Herzégovine","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","1930"
"Cultures et produits animaux","Bosnie-Herzégovine","Importations - Quantité","Poulets","2017","1000 têtes","24491"
"Cultures et produits animaux","Bosnie-Herzégovine","Importations - Valeur","Poulets","2017","1000 US$","2605"
"Cultures et produits animaux","Bosnie-Herzégovine","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","7408.64"
"Cultures et produits animaux","Bosnie-Herzégovine","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","7109"
"Cultures et produits animaux","Botswana","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","157.27"
"Cultures et produits animaux","Botswana","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","668"
"Cultures et produits animaux","Botswana","Importations - Quantité","Poulets","2017","1000 têtes","872"
"Cultures et produits animaux","Botswana","Importations - Valeur","Poulets","2017","1000 US$","3374"
"Cultures et produits animaux","Botswana","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","2230.64"
"Cultures et produits animaux","Botswana","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","2723"
"Cultures et produits animaux","Brésil","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","154.68"
"Cultures et produits animaux","Brésil","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","19307"
"Cultures et produits animaux","Brésil","Importations - Quantité","Poulets","2017","1000 têtes","40"
"Cultures et produits animaux","Brésil","Importations - Valeur","Poulets","2017","1000 US$","1425"
"Cultures et produits animaux","Brésil","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","3305.78"
"Cultures et produits animaux","Brésil","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","8320"
"Cultures et produits animaux","Brunéi Darussalam","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","757.98"
"Cultures et produits animaux","Brunéi Darussalam","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","2409"
"Cultures et produits animaux","Brunéi Darussalam","Importations - Quantité","Poulets","2017","1000 têtes","912"
"Cultures et produits animaux","Brunéi Darussalam","Importations - Valeur","Poulets","2017","1000 US$","1058"
"Cultures et produits animaux","Brunéi Darussalam","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","1485.83"
"Cultures et produits animaux","Brunéi Darussalam","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","2956"
"Cultures et produits animaux","Bulgarie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","6346.99"
"Cultures et produits animaux","Bulgarie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","10970"
"Cultures et produits animaux","Bulgarie","Importations - Quantité","Poulets","2017","1000 têtes","1926"
"Cultures et produits animaux","Bulgarie","Importations - Valeur","Poulets","2017","1000 US$","4577"
"Cultures et produits animaux","Bulgarie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","96121.26"
"Cultures et produits animaux","Bulgarie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","105200"
"Cultures et produits animaux","Burkina Faso","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","34.61"
"Cultures et produits animaux","Burkina Faso","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","194"
"Cultures et produits animaux","Burkina Faso","Importations - Quantité","Poulets","2017","1000 têtes","744"
"Cultures et produits animaux","Burkina Faso","Importations - Valeur","Poulets","2017","1000 US$","233"
"Cultures et produits animaux","Burkina Faso","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","74.92"
"Cultures et produits animaux","Burkina Faso","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","68"
"Cultures et produits animaux","Burundi","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","0.59"
"Cultures et produits animaux","Burundi","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","1"
"Cultures et produits animaux","Burundi","Importations - Quantité","Poulets","2017","1000 têtes","36"
"Cultures et produits animaux","Burundi","Importations - Valeur","Poulets","2017","1000 US$","40"
"Cultures et produits animaux","Burundi","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","3.82"
"Cultures et produits animaux","Burundi","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","8"
"Cultures et produits animaux","Cabo Verde","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","252"
"Cultures et produits animaux","Cabo Verde","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","589"
"Cultures et produits animaux","Cabo Verde","Importations - Quantité","Poulets","2017","1000 têtes","115"
"Cultures et produits animaux","Cabo Verde","Importations - Valeur","Poulets","2017","1000 US$","169"
"Cultures et produits animaux","Cabo Verde","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","10731.36"
"Cultures et produits animaux","Cabo Verde","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","12406"
"Cultures et produits animaux","Cambodge","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","9.56"
"Cultures et produits animaux","Cambodge","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","46"
"Cultures et produits animaux","Cambodge","Importations - Quantité","Poulets","2017","1000 têtes","210"
"Cultures et produits animaux","Cambodge","Importations - Valeur","Poulets","2017","1000 US$","680"
"Cultures et produits animaux","Cambodge","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","872.63"
"Cultures et produits animaux","Cambodge","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","2282"
"Cultures et produits animaux","Cameroun","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","637.14"
"Cultures et produits animaux","Cameroun","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","3196"
"Cultures et produits animaux","Cameroun","Importations - Quantité","Poulets","2017","1000 têtes","17"
"Cultures et produits animaux","Cameroun","Importations - Valeur","Poulets","2017","1000 US$","379"
"Cultures et produits animaux","Cameroun","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","9.5"
"Cultures et produits animaux","Cameroun","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","32"
"Cultures et produits animaux","Canada","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","38800.36"
"Cultures et produits animaux","Canada","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","82730"
"Cultures et produits animaux","Canada","Importations - Quantité","Poulets","2017","1000 têtes","56832"
"Cultures et produits animaux","Canada","Importations - Valeur","Poulets","2017","1000 US$","52627"
"Cultures et produits animaux","Canada","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","143243.01"
"Cultures et produits animaux","Canada","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","338542"
"Cultures et produits animaux","Chili","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","0.14"
"Cultures et produits animaux","Chili","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","4"
"Cultures et produits animaux","Chili","Importations - Quantité","Poulets","2017","1000 têtes","466"
"Cultures et produits animaux","Chili","Importations - Valeur","Poulets","2017","1000 US$","5480"
"Cultures et produits animaux","Chili","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","130215.99"
"Cultures et produits animaux","Chili","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","176644"
"Cultures et produits animaux","Chine","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","170903.05"
"Cultures et produits animaux","Chine","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","192338"
"Cultures et produits animaux","Chine","Importations - Quantité","Poulets","2017","1000 têtes","4075"
"Cultures et produits animaux","Chine","Importations - Valeur","Poulets","2017","1000 US$","39291"
"Cultures et produits animaux","Chine","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","1362583.46"
"Cultures et produits animaux","Chine","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","2519891"
"Cultures et produits animaux","Chine - RAS de Hong-Kong","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","156694.4"
"Cultures et produits animaux","Chine - RAS de Hong-Kong","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","173724"
"Cultures et produits animaux","Chine - RAS de Hong-Kong","Importations - Quantité","Poulets","2017","1000 têtes","140"
"Cultures et produits animaux","Chine - RAS de Hong-Kong","Importations - Valeur","Poulets","2017","1000 US$","606"
"Cultures et produits animaux","Chine - RAS de Hong-Kong","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","736107.78"
"Cultures et produits animaux","Chine - RAS de Hong-Kong","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","1296629"
"Cultures et produits animaux","Chine - RAS de Macao","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","13406.02"
"Cultures et produits animaux","Chine - RAS de Macao","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","17124"
"Cultures et produits animaux","Chine - RAS de Macao","Importations - Quantité","Poulets","2017","1000 têtes","2550"
"Cultures et produits animaux","Chine - RAS de Macao","Importations - Valeur","Poulets","2017","1000 US$","16360"
"Cultures et produits animaux","Chine - RAS de Macao","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","18565.1"
"Cultures et produits animaux","Chine - RAS de Macao","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","40439"
"Cultures et produits animaux","Chine, continentale","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","0.25"
"Cultures et produits animaux","Chine, continentale","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","15"
"Cultures et produits animaux","Chine, continentale","Importations - Quantité","Poulets","2017","1000 têtes","1018"
"Cultures et produits animaux","Chine, continentale","Importations - Valeur","Poulets","2017","1000 US$","18653"
"Cultures et produits animaux","Chine, continentale","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","450411.21"
"Cultures et produits animaux","Chine, continentale","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","1027766"
"Cultures et produits animaux","Chine, Taiwan Province de","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","802.38"
"Cultures et produits animaux","Chine, Taiwan Province de","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","1474"
"Cultures et produits animaux","Chine, Taiwan Province de","Importations - Quantité","Poulets","2017","1000 têtes","367"
"Cultures et produits animaux","Chine, Taiwan Province de","Importations - Valeur","Poulets","2017","1000 US$","3672"
"Cultures et produits animaux","Chine, Taiwan Province de","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","157499.36"
"Cultures et produits animaux","Chine, Taiwan Province de","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","155056"
"Cultures et produits animaux","Chypre","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","524.47"
"Cultures et produits animaux","Chypre","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","1553"
"Cultures et produits animaux","Chypre","Importations - Quantité","Poulets","2017","1000 têtes","118"
"Cultures et produits animaux","Chypre","Importations - Valeur","Poulets","2017","1000 US$","311"
"Cultures et produits animaux","Chypre","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","9641.05"
"Cultures et produits animaux","Chypre","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","24238"
"Cultures et produits animaux","Colombie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","126.83"
"Cultures et produits animaux","Colombie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","1504"
"Cultures et produits animaux","Colombie","Importations - Quantité","Poulets","2017","1000 têtes","820"
"Cultures et produits animaux","Colombie","Importations - Valeur","Poulets","2017","1000 US$","12113"
"Cultures et produits animaux","Colombie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","54122.91"
"Cultures et produits animaux","Colombie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","56779"
"Cultures et produits animaux","Comores","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","29.21"
"Cultures et produits animaux","Comores","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","31"
"Cultures et produits animaux","Comores","Importations - Quantité","Poulets","2017","1000 têtes","11"
"Cultures et produits animaux","Comores","Importations - Valeur","Poulets","2017","1000 US$","45"
"Cultures et produits animaux","Comores","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","61.65"
"Cultures et produits animaux","Comores","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","65"
"Cultures et produits animaux","Congo","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","2160.78"
"Cultures et produits animaux","Congo","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","2816"
"Cultures et produits animaux","Congo","Importations - Quantité","Poulets","2017","1000 têtes","219"
"Cultures et produits animaux","Congo","Importations - Valeur","Poulets","2017","1000 US$","125"
"Cultures et produits animaux","Congo","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","94170.1"
"Cultures et produits animaux","Congo","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","107482"
"Cultures et produits animaux","Costa Rica","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","779.23"
